"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"178","AMHARa","Dembecha","January","2017","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"179","AMHARa","Bahir- Dar ","January","2017","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","11.66","-","20.00","15.66"
"180","AMHARa","Sekota","January","2017","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"9.08","8.97","8.79","-","-","21.43"
"181","AMHARa","Amde Work ","January","2017","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"10.81","-","-","-","-","-"
"182","AMHARa","Danigla","January","2017","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"12.70","-","-","-","-","12.51"
"183","AMHARa","Chagni","January","2017","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","8.00","-","-","9.11"
"184","AMHARa","Kemise","January","2017","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"12.35","11.74","11.50","-","-","25.39"
"185","AMHARa","Bati","January","2017","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.37","-","-","-","-","-"
"186","AMHARa","Mota","July","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"20.83","-","15.04","-","16.49","15.53"
"187","AMHARa","Debre- markos ","July","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"11.62","-","-","-","14.19","-"
"188","AMHARa","Dembecha","July","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"189","AMHARa","Bahir- Dar ","July","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"13.33","-","10.66","-","20.33","16.33"
"190","AMHARa","Sekota","July","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"10.85","10.80","10.31","-","-","15.35"
"191","AMHARa","Amde Work ","July","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"11.04","-","-","-","-","-"
"192","AMHARa","Danigla","July","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"14.24","-","-","-","-","15.80"
"193","AMHARa","Chagni","July","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","8.49","-","-","9.72"
"194","AMHARa","Kemise","July","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"11.65","11.54","10.93","-","-","22.89"
"195","AMHARa","Bati","July","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.38","-","-","-","-","35.46"
"196","AMHARa","Mota","June","2017","37.8807432","11.07475582","-","-","14.29","-","21.06","-","-","-",NA,NA,NA,NA,NA,NA
"197","AMHARa","Debre- markos ","June","2017","37.72636868","10.33641293","11.01","-","-","-","582.25","-","-","-",NA,NA,NA,NA,NA,NA
"198","AMHARa","Dembecha","June","2017","37.48251554","10.56669266","16.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"199","AMHARa","Bahir- Dar ","June","2017","37.3815488","11.58416449","12.49","-","12.00","-","22.49","-","-","16.49",NA,NA,NA,NA,NA,NA
"200","AMHARa","Sekota","June","2017","39.03355257","12.62479803","9.09","9.34","9.28","-","-","-","-","21.51",NA,NA,NA,NA,NA,NA
"201","AMHARa","Amde Work ","June","2017","38.85815043","12.45920199","12.37","11.96","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"202","AMHARa","Danigla","June","2017","36.83153176","11.25223153","16.28","-","-","-","-","-","-","14.82",NA,NA,NA,NA,NA,NA
"203","AMHARa","Chagni","June","2017","36.50793596","10.95196565","14.00","-","10.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"204","AMHARa","Kemise","June","2017","39.85696873","10.71374234","15.69","14.70","15.09","-","-","-","-","27.30",NA,NA,NA,NA,NA,NA
"205","AMHARa","Bati","June","2017","40.0181327","11.19153266","12.33","-","-","-","-","30.98","-","40.00",NA,NA,NA,NA,NA,NA
"206","AMHARa","Mota","March","2017","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"22.40","-","14.05","-","20.23","22.73"
"207","AMHARa","Debre- markos ","March","2017","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"11.22","-","-","-","16.44","-"
"208","AMHARa","Dembecha","March","2017","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"209","AMHARa","Bahir- Dar ","March","2017","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","11.29","-","20.65","15.33"
"210","AMHARa","Sekota","March","2017","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"9.39","9.00","8.97","-","-","20.41"
"211","AMHARa","Amde Work ","March","2017","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"11.27","11.11","-","-","-","-"
"212","AMHARa","Danigla","March","2017","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"12.70","-","-","-","-","13.35"
"213","AMHARa","Chagni","March","2017","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","9.00","-","-","-"
"214","AMHARa","Kemise","March","2017","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"11.41","9.98","11.22","-","-","23.22"
"215","AMHARa","Bati","March","2017","40.0181327","11.19153266",NA,NA,NA,NA,NA,"-","-",NA,"11.96","-","-","-","-","35.79"
"216","AMHARa","Mota","May","2017","37.8807432","11.07475582","-","-","14.29","-","21.06","-","-","-",NA,NA,NA,NA,NA,NA
"217","AMHARa","Debre- markos ","May","2017","37.72636868","10.33641293","11.01","-","-","-","582.25","-","-","-",NA,NA,NA,NA,NA,NA
"218","AMHARa","Dembecha","May","2017","37.48251554","10.56669266","16.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"219","AMHARa","Bahir- Dar ","May","2017","37.3815488","11.58416449","12.49","-","12.00","-","22.49","-","-","16.49",NA,NA,NA,NA,NA,NA
"220","AMHARa","Sekota","May","2017","39.03355257","12.62479803","9.09","9.34","9.28","-","-","-","-","21.51",NA,NA,NA,NA,NA,NA
"221","AMHARa","Amde Work ","May","2017","38.85815043","12.45920199","12.37","11.96","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"222","AMHARa","Danigla","May","2017","36.83153176","11.25223153","16.28","-","-","-","-","-","-","14.82",NA,NA,NA,NA,NA,NA
"223","AMHARa","Chagni","May","2017","36.50793596","10.95196565","14.00","-","10.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"224","AMHARa","Kemise","May","2017","39.85696873","10.71374234","15.69","14.70","15.09","-","-","-","-","27.30",NA,NA,NA,NA,NA,NA
"225","AMHARa","Bati","May","2017","40.0181327","11.19153266","12.33","-","-","-","-","30.98","-","40.00",NA,NA,NA,NA,NA,NA
"226","AMHARa","Mota","November","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"-","-","12.98","-","17.65","16.00"
"227","AMHARa","Debre- markos ","November","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"12.61","-","-","-","16.04","-"
"228","AMHARa","Dembecha","November","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"229","AMHARa","Bahir- Dar ","November","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"12.97","-","11.66","-","20.33","15.66"
"230","AMHARa","Sekota","November","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"8.21","7.39","9.40","-","-","20.55"
"231","AMHARa","Amde Work ","November","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"9.53","-","-","-","-","-"
"232","AMHARa","Danigla","November","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"13.97","-","-","-","-","15.42"
"233","AMHARa","Chagni","November","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","8.00","-","-","10.36"
"234","AMHARa","Kemise","November","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"12.30","11.76","11.67","-","-","25.02"
"235","AMHARa","Bati","November","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"12.55","-","-","-","-","35.83"
"236","AMHARa","Mota","October","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"25.00","-","14.19","-","17.45","18.95"
"237","AMHARa","Debre- markos ","October","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"9.25","-","-","-","14.37","-"
"238","AMHARa","Dembecha","October","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"239","AMHARa","Bahir- Dar ","October","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"12.49","-","11.32","-","20.65","16.00"
"240","AMHARa","Sekota","October","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"9.68","9.25","9.27","-","-","20.84"
"241","AMHARa","Amde Work ","October","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"10.30","-","-","-","-","-"
"242","AMHARa","Danigla","October","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"14.08","-","-","-","-","14.31"
"243","AMHARa","Chagni","October","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","8.00","-","-","10.03"
"244","AMHARa","Kemise","October","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"9.84","10.09","11.18","-","-","24.01"
"245","AMHARa","Bati","October","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.91","-","-","-","-","37.18"
"246","AMHARa","Mota","September","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,"-","-",NA,"17.54","-","13.66","-","16.86","20.42"
"247","AMHARa","Debre- markos ","September","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,"-","-",NA,"9.12","-","-","-","16.39","-"
"248","AMHARa","Dembecha","September","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","-","-","-","-"
"249","AMHARa","Bahir- Dar ","September","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","11.66","-","20.00","16.33"
"250","AMHARa","Sekota","September","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,"-","-",NA,"9.64","8.61","8.23","-","-","20.84"
"251","AMHARa","Amde Work ","September","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,"-","-",NA,"10.64","-","-","-","-","-"
"252","AMHARa","Danigla","September","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,"-","-",NA,"14.06","-","-","-","-","14.31"
"253","AMHARa","Chagni","September","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","9.00","-","-","9.69"
"254","AMHARa","Kemise","September","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,"-","-",NA,"10.17","9.84","14.36","-","-","24.66"
"255","AMHARa","Bati","September","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,"30.00","-",NA,"11.97","-","-","-","-","34.90"
"256","GAMBELLA","Gambella","April","2017","34.58547076","8.249396585","15.00","15.00","15.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"257","GAMBELLA","Shebo- kire ","April","2017",NA,NA,"15.49","-","15.00","-","-","50.99","-","-",NA,NA,NA,NA,NA,NA
"258","GAMBELLA","Meti","April","2017","7.233333333","35.31666667","12.00","-","10.00","-","-","-","-","23.18",NA,NA,NA,NA,NA,NA
"259","GAMBELLA","Gambella","June","2017","34.58547076","8.249396585","15.00","15.00","15.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"260","GAMBELLA","Shebo- kire ","June","2017",NA,NA,"15.49","-","15.00","-","-","50.00","-","-",NA,NA,NA,NA,NA,NA
"261","GAMBELLA","Meti","June","2017","7.233333333","35.31666667","12.00","-","10.49","-","-","-","-","20.92",NA,NA,NA,NA,NA,NA
"262","GAMBELLA","Gambella","May","2017","34.58547076","8.249396585","15.00","15.00","15.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"263","GAMBELLA","Shebo- kire ","May","2017",NA,NA,"15.49","-","15.00","-","-","50.00","-","-",NA,NA,NA,NA,NA,NA
"264","GAMBELLA","Meti","May","2017","7.233333333","35.31666667","12.00","-","10.49","-","-","-","-","20.92",NA,NA,NA,NA,NA,NA
"265","GAMBELLA","Gambella","August","2016","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"266","GAMBELLA","Shebo- kire ","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"17.33","-","16.33","-","-","-"
"267","GAMBELLA","Meti","August","2016","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","22.52"
"268","DIREDAWA","Dire Dawa ","August","2016","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"13.33","-","10.66","14.00","-","26.32"
"269","DIREDAWA","Melka- Jebdu ","August","2016","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.66","-","10.00","-","-","30.00"
"270","GAMBELLA","Gambella","December","2016","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"271","GAMBELLA","Shebo- kire ","December","2016",NA,NA,NA,NA,NA,NA,NA,"48.66","-",NA,"15.33","-","15.00","-","-","-"
"272","GAMBELLA","Meti","December","2016","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","9.00","-","-","24.36"
"273","DIREDAWA","Dire Dawa ","December","2016","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"12.49","-","11.00","13.33","-","25.65"
"274","DIREDAWA","Melka- Jebdu ","December","2016","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","30.00"
"275","GAMBELLA","Gambella","February","2017","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","14.66","-","-","-"
"276","GAMBELLA","Shebo- kire ","February","2017",NA,NA,NA,NA,NA,NA,NA,"48.00","-",NA,"15.33","-","15.00","-","-","-"
"277","GAMBELLA","Meti","February","2017","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.00","-","-","24.41"
"278","DIREDAWA","Dire Dawa ","February","2017","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"12.49","-","11.00","13.66","-","24.66"
"279","DIREDAWA","Melka- Jebdu ","February","2017","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","30.00"
"280","GAMBELLA","Gambella","January","2017","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"281","GAMBELLA","Shebo- kire ","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"16.66","-","15.00","-","-","-"
"282","GAMBELLA","Meti","January","2017","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"10.00","12.00","10.00","-","-","12.94"
"283","DIREDAWA","Dire Dawa ","January","2017","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"12.49","-","10.49","14.00","-","24.66"
"284","DIREDAWA","Melka- Jebdu ","January","2017","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","30.00"
"285","GAMBELLA","Gambella","July","2016","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"286","GAMBELLA","Shebo- kire ","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"16.00","-","15.98","-","-","-"
"287","GAMBELLA","Meti","July","2016","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","19.50"
"288","DIREDAWA","Dire Dawa ","July","2016","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"13.06","-","11.00","13.66","-","25.99"
"289","DIREDAWA","Melka- Jebdu ","July","2016","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.49","-","10.00","-","-","30.00"
"290","GAMBELLA","Gambella","March","2017","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"291","GAMBELLA","Shebo- kire ","March","2017",NA,NA,NA,NA,NA,NA,NA,"48.66","-",NA,"15.33","-","15.00","-","-","-"
"292","GAMBELLA","Meti","March","2017","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","9.00","-","-","16.22"
"293","DIREDAWA","Dire Dawa ","March","2017","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"12.49","-","10.64","14.00","-","25.65"
"294","DIREDAWA","Melka- Jebdu ","March","2017","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","30.00"
"295","GAMBELLA","Gambella","November","2016","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"296","GAMBELLA","Shebo- kire ","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"18.00","-","14.98","-","-","-"
"297","GAMBELLA","Meti","November","2016","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","9.32","-","-","25.37"
"298","DIREDAWA","Dire Dawa ","November","2016","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"12.57","-","11.00","13.33","-","24.33"
"299","DIREDAWA","Melka- Jebdu ","November","2016","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","30.00"
"300","GAMBELLA","Gambella","October","2016","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"301","GAMBELLA","Shebo- kire ","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"18.33","-","17.00","-","-","-"
"302","GAMBELLA","Meti","October","2016","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","10.00","-","-","23.09"
"303","DIREDAWA","Dire Dawa ","October","2016","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"12.91","-","11.00","13.33","-","26.32"
"304","DIREDAWA","Melka- Jebdu ","October","2016","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","9.32","12.00","-","30.00"
"305","GAMBELLA","Gambella","September","2016","34.58547076","8.249396585",NA,NA,NA,NA,NA,"-","-",NA,"15.00","15.00","15.00","-","-","-"
"306","GAMBELLA","Shebo- kire ","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"18.00","-","16.66","-","-","-"
"307","GAMBELLA","Meti","September","2016","7.233333333","35.31666667",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.00","-","-","23.40"
"308","DIREDAWA","Dire Dawa ","September","2016","41.8572763","9.593652332",NA,NA,NA,NA,NA,"-","-",NA,"13.33","-","11.32","14.00","-","25.65"
"309","DIREDAWA","Melka- Jebdu ","September","2016","41.77420401","9.617496554",NA,NA,NA,NA,NA,"-","-",NA,"11.00","-","10.00","-","-","30.00"
"310","OROMIYA","Ghimbi","April","2017","35.83291974","9.163103789","11.49","10.00","10.00","-","-","40.00","24.00","-",NA,NA,NA,NA,NA,NA
"311","OROMIYA","Dembi- dolo ","April","2017","34.79748694","8.530219501","13.00","11.00","-","-","-","40.00","30.00","-",NA,NA,NA,NA,NA,NA
"312","OROMIYA","Shambu","April","2017","37.09431432","9.569809208","7.15","7.00","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"313","OROMIYA","Nekemte","April","2017","36.54851971","9.09042469","11.00","8.00","11.00","-","-","40.00","36.00","15.85",NA,NA,NA,NA,NA,NA
"314","OROMIYA","Bedele","April","2017","36.36017384","8.454821965","15.00","12.00","10.95","-","-","-","-","22.22",NA,NA,NA,NA,NA,NA
"315","OROMIYA","Metu","April","2017","35.58726864","8.300606827","12.49","10.00","10.95","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"316","OROMIYA","Jimma","April","2017","36.84385226","7.672338798","12.49","-","12.49","-","-","-","-","19.07",NA,NA,NA,NA,NA,NA
"317","OROMIYA","Agaro","April","2017","36.58627683","7.848002731","11.76","-","10.59","-","-","-","-","14.22",NA,NA,NA,NA,NA,NA
"318","OROMIYA","Ambo","April","2017","37.8446066","8.976806527","9.65","9.84","9.46","-","14.55","-","-","-",NA,NA,NA,NA,NA,NA
"319","OROMIYA","Weliso","April","2017","37.97073066","8.534178897","9.81","10.64","10.21","-","18.52","-","-","18.61",NA,NA,NA,NA,NA,NA
"320","OROMIYA","Ejere","April","2017","39.262249","8.78288","10.26","-","-","-","14.23","-","-","-",NA,NA,NA,NA,NA,NA
"321","OROMIYA","Fiche","April","2017","38.73344116","9.791083661","9.77","8.28","9.25","-","17.27","-","-","13.09",NA,NA,NA,NA,NA,NA
"322","OROMIYA","Ghimbi","August","2016","35.83291974","9.163103789",NA,NA,NA,NA,NA,"-","22.00",NA,"10.82","9.65","9.32","-","-","-"
"323","OROMIYA","Dembi- dolo ","August","2016","34.79748694","8.530219501",NA,NA,NA,NA,NA,"40.00","25.96",NA,"12.00","10.00","-","-","-","-"
"324","OROMIYA","Shambu","August","2016","37.09431432","9.569809208",NA,NA,NA,NA,NA,"-","-",NA,"7.02","6.89","6.92","-","-","-"
"325","OROMIYA","Nekemte","August","2016","36.54851971","9.09042469",NA,NA,NA,NA,NA,"32.00","30.00",NA,"10.00","8.00","10.00","-","-","12.25"
"326","OROMIYA","Bedele","August","2016","36.36017384","8.454821965",NA,NA,NA,NA,NA,"-","-",NA,"13.30","10.00","10.00","-","-","13.89"
"327","OROMIYA","Metu","August","2016","35.58726864","8.300606827",NA,NA,NA,NA,NA,"-","-",NA,"11.66","10.32","10.32","-","-","-"
"328","OROMIYA","Jimma","August","2016","36.84385226","7.672338798",NA,NA,NA,NA,NA,"-","-",NA,"12.32","-","12.00","-","-","-"
"329","OROMIYA","Agaro","August","2016","36.58627683","7.848002731",NA,NA,NA,NA,NA,"-","-",NA,"10.59","-","10.00","-","-","12.23"
"330","OROMIYA","Ambo","August","2016","37.8446066","8.976806527",NA,NA,NA,NA,NA,"-","-",NA,"7.90","7.90","7.90","-","10.23","-"
"331","OROMIYA","Weliso","August","2016","37.97073066","8.534178897",NA,NA,NA,NA,NA,"-","-",NA,"9.38","9.66","7.79","-","12.63","19.68"
"332","OROMIYA","Ejere","August","2016","39.262249","8.78288",NA,NA,NA,NA,NA,"-","-",NA,"10.85","-","9.88","-","12.70","-"
"333","OROMIYA","Fiche","August","2016","38.73344116","9.791083661",NA,NA,NA,NA,NA,"-","-",NA,"9.48","7.57","8.56","-","15.39","13.86"
"334","OROMIYA","Ghimbi","December","2016","35.83291974","9.163103789",NA,NA,NA,NA,NA,"40.00","24.00",NA,"10.32","9.65","9.65","-","-","-"
"335","OROMIYA","Dembi- dolo ","December","2016","34.79748694","8.530219501",NA,NA,NA,NA,NA,"50.00","35.00",NA,"14.00","12.00","-","-","-","-"
"336","OROMIYA","Shambu","December","2016","37.09431432","9.569809208",NA,NA,NA,NA,NA,"-","-",NA,"6.96","5.88","5.96","-","-","-"
"337","OROMIYA","Nekemte","December","2016","36.54851971","9.09042469",NA,NA,NA,NA,NA,"38.00","32.00",NA,"10.00","8.00","9.32","-","-","11.82"
"338","OROMIYA","Bedele","December","2016","36.36017384","8.454821965",NA,NA,NA,NA,NA,"-","-",NA,"13.00","12.00","10.00","-","-","16.67"
"339","OROMIYA","Metu","December","2016","35.58726864","8.300606827",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","10.00","-","-","-"
"340","OROMIYA","Jimma","December","2016","36.84385226","7.672338798",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.32","-","-","-"
"341","OROMIYA","Agaro","December","2016","36.58627683","7.848002731",NA,NA,NA,NA,NA,"-","-",NA,"11.76","-","10.59","-","-","13.53"
"342","OROMIYA","Ambo","December","2016","37.8446066","8.976806527",NA,NA,NA,NA,NA,"-","-",NA,"7.79","9.04","9.04","-","-","-"
"343","OROMIYA","Weliso","December","2016","37.97073066","8.534178897",NA,NA,NA,NA,NA,"-","-",NA,"9.38","8.54","8.89","-","12.90","16.22"
"344","OROMIYA","Ejere","December","2016","39.262249","8.78288",NA,NA,NA,NA,NA,"-","-",NA,"8.28","-","-","-","-","-"
"345","OROMIYA","Fiche","December","2016","38.73344116","9.791083661",NA,NA,NA,NA,NA,"-","-",NA,"8.55","-","-","-","15.14","12.50"
"346","OROMIYA","Ghimbi","February","2017","35.83291974","9.163103789",NA,NA,NA,NA,NA,"40.00","-",NA,"10.83","10.00","10.00","-","-","-"
"347","OROMIYA","Dembi- dolo ","February","2017","34.79748694","8.530219501",NA,NA,NA,NA,NA,"40.00","30.00",NA,"14.00","12.00","-","-","-","-"
"348","OROMIYA","Shambu","February","2017","37.09431432","9.569809208",NA,NA,NA,NA,NA,"-","-",NA,"6.16","6.18","6.05","-","-","-"
"349","OROMIYA","Nekemte","February","2017","36.54851971","9.09042469",NA,NA,NA,NA,NA,"40.00","32.00",NA,"10.00","8.00","10.00","-","-","14.39"
"350","OROMIYA","Bedele","February","2017","36.36017384","8.454821965",NA,NA,NA,NA,NA,"-","-",NA,"15.00","13.00","10.00","-","-","17.97"
"351","OROMIYA","Metu","February","2017","35.58726864","8.300606827",NA,NA,NA,NA,NA,"-","-",NA,"11.66","10.00","10.00","-","-","-"
"352","OROMIYA","Jimma","February","2017","36.84385226","7.672338798",NA,NA,NA,NA,NA,"-","-",NA,"12.66","-","12.00","-","-","-"
"353","OROMIYA","Agaro","February","2017","36.58627683","7.848002731",NA,NA,NA,NA,NA,"-","-",NA,"10.98","-","10.00","-","-","12.89"
"354","OROMIYA","Ambo","February","2017","37.8446066","8.976806527",NA,NA,NA,NA,NA,"-","-",NA,"7.79","9.04","8.00","-","9.71","-"
"355","OROMIYA","Weliso","February","2017","37.97073066","8.534178897",NA,NA,NA,NA,NA,"-","-",NA,"9.87","8.77","8.22","-","11.89","18.82"
"356","OROMIYA","Ejere","February","2017","39.262249","8.78288",NA,NA,NA,NA,NA,"-","-",NA,"8.83","-","-","-","12.33","-"
"357","OROMIYA","Fiche","February","2017","38.73344116","9.791083661",NA,NA,NA,NA,NA,"-","-",NA,"9.58","7.94","8.68","-","12.83","12.50"
"358","OROMIYA","Ghimbi","January","2017","35.83291974","9.163103789",NA,NA,NA,NA,NA,"24.00","-",NA,"11.32","10.00","10.00","-","-","-"
