"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"724","Snnp","Welayita Sodo ","June",2014,37.766643,6.86176,10,NA,11,NA,NA,6.73,19.36,10
"725","Snnp","Bodite","June",2014,37.89064905,7.038034865,10.66,NA,NA,NA,NA,5,11.64,10.66
"726","Snnp","Jinka","June",2014,36.56441614,5.78310286,11.53,10.39,9.13,NA,NA,4.38,12.9,11.53
"727","Snnp","Dimeka","June",2014,36.45041198,4.892522922,NA,NA,NA,NA,NA,5.6,NA,NA
"728","Snnp","Masha","June",2014,35.47956686,7.741652627,12,NA,12,NA,13,6.18,NA,12
"729","Snnp","Tepi","June",2014,35.36770327,7.320015599,10,NA,NA,11,NA,5.25,NA,10
"730","Snnp","Boniga","June",2014,36.24008346,7.388535704,9.65,NA,8.16,NA,NA,6.11,13.06,9.65
"731","Snnp","Chana","June",2014,36.11775846,6.226550231,11,NA,10,NA,NA,5.83,NA,11
"732","Snnp","Arbam- Minch ","June",2014,37.5527474,6.024547891,12,14,10.32,NA,NA,3.76,NA,12
"733","Snnp","Sawla","June",2014,36.87437474,6.300226567,7.47,NA,12.5,NA,NA,3.58,NA,7.47
"734","Snnp","Welayita Sodo ","May",2014,37.766643,6.86176,9.49,NA,NA,NA,NA,7,19.68,9.49
"735","Snnp","Bodite","May",2014,37.89064905,7.038034865,10,NA,NA,NA,NA,4.58,11.11,10
"736","Snnp","Jinka","May",2014,36.56441614,5.78310286,10.91,9.51,9.04,NA,NA,NA,13.97,10.91
"737","Snnp","Dimeka","May",2014,36.45041198,4.892522922,9.41,NA,NA,NA,NA,4.38,NA,9.41
"738","Snnp","Masha","May",2014,35.47956686,7.741652627,11,NA,10,NA,12,6.18,NA,11
"739","Snnp","Tepi","May",2014,35.36770327,7.320015599,11,NA,10,12,NA,7.78,NA,11
"740","Snnp","Boniga","May",2014,36.24008346,7.388535704,8.66,NA,8,NA,NA,6.11,12.61,8.66
"741","Snnp","Chana","May",2014,36.11775846,6.226550231,10,NA,10,NA,NA,5.54,NA,10
"742","Snnp","Arbam- Minch ","May",2014,37.5527474,6.024547891,12,NA,10,NA,NA,3.63,NA,12
"743","Snnp","Sawla","May",2014,36.87437474,6.300226567,8.19,NA,7.81,NA,NA,3.51,NA,8.19
"744","Snnp","Welayita Sodo ","November",2013,37.766643,6.86176,9.83,NA,NA,NA,NA,5.38,14.76,9.83
