"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"665","Snnp","Alaba","May",2018,38.086143,7.311546,17,NA,15,NA,NA,NA,NA,28.99,17
"666","Snnp","Awasa","May",2018,38.474819,7.058624,18,NA,16.49,19.49,NA,NA,NA,NA,18
"667","Snnp","Hagere- Selam ","May",2018,38.51921184,6.513880636,11.73,NA,NA,NA,NA,NA,NA,12.5,11.73
"668","Snnp","Dilla","May",2018,38.30745962,6.410516676,15,NA,12,14,NA,NA,NA,20,15
"669","Snnp","Yirega-¦ Chefie ","May",2018,38.1988827,6.16095383,17,NA,NA,16,NA,NA,NA,NA,17
"670","Snnp","Welikite","November",2017,37.77266735,8.27732366,15.75,NA,15.8,NA,NA,NA,NA,33.44,15.75
"671","Snnp","Butajira","November",2017,38.42140499,8.173264069,15.82,16.03,16.72,18.56,NA,NA,NA,24.05,15.82
"672","Snnp","Hosahna","November",2017,37.84747123,7.538579317,13.5,11,12,NA,NA,NA,NA,14.29,13.5
"673","Snnp","Shone","November",2017,37.94869425,7.134857075,17,14,16,NA,NA,NA,NA,10.81,17
"674","Snnp","Doyugena","November",2017,37.78333,7.33333,13,12.5,13,13,NA,NA,NA,16.11,13
"675","Snnp","Alaba","November",2017,38.086143,7.311546,16,NA,16,NA,NA,NA,NA,34.5,16
"676","Snnp","Awasa","November",2017,38.474819,7.058624,18,NA,20,20,NA,NA,NA,42.11,18
"677","Snnp","Hagere- Selam ","November",2017,38.51921184,6.513880636,16.37,NA,NA,NA,NA,NA,NA,16.67,16.37
"678","Snnp","Dilla","November",2017,38.30745962,6.410516676,16.25,NA,16,15,NA,NA,NA,NA,16.25
"679","Snnp","Yirega-¦ Chefie ","November",2017,38.1988827,6.16095383,16,NA,NA,NA,NA,NA,NA,15,16
"680","Snnp","Welikite","October",2017,37.77266735,8.27732366,15,NA,14.9,NA,NA,NA,NA,31.75,15
"681","Snnp","Butajira","October",2017,38.42140499,8.173264069,15.7,16.03,16.71,16.96,NA,NA,NA,14.5,15.7
"682","Snnp","Hosahna","October",2017,37.84747123,7.538579317,14,11,13,NA,NA,NA,NA,14.29,14
"683","Snnp","Shone","October",2017,37.94869425,7.134857075,24,NA,20,NA,NA,NA,NA,NA,24
